id;description;price;quantity_in_stock;wholesale_product
1;Milk;;;
2;Cream 400g;;;
3;Yogurt 400g;;;
4;Packed potatoes 1kg;;;
5;Packed cabbage 1kg;;;
6;Packed tomatoes 350g;;;
7;Packed apples 1kg;;;
8;Packed oranges 1kg;;;
9;Packed bananas 1kg;;;
10;Packed beef fillet 1kg;;;
11;Packed pork fillet 1kg;;;
12;Packed chicken breasts 1kgSour;;;
13;Baguette 360g;;;
14;Drinking water 1,5l;;;
15;Olive oil 500ml;;;
16;Sunflower oil 1l;;;
17;Chocolate Ritter sport 100g;;;
18;Paulaner 0,5l;;;
19;Whiskey Jim Beam 1l;;;
20;Whiskey Jack Daniels 1l;;;
